executable,timeout,instance,number_of_sabre,pool_percent,initial_depth,execution_time,depth,gates,mapping,status
"./qubit.exe","3600s","clip_206",1,1,7,3600,"45606","63633","[15, 3, 6, 12, 5, 2, 11, 9, 1, 14, 10, 7, 8, 4]",TIMEOUT
"./qubit.exe","3600s","cm42a_207",1,1,7,3600,"2218","3275","[13, 0, 12, 2, 9, 14, 15, 11, 10, 5, 3, 6, 8, 4]",TIMEOUT
"./qubit.exe","3600s","cm85a_209",1,1,7,3600,"15706","20967","[5, 9, 6, 14, 2, 13, 11, 15, 12, 7, 4, 3, 0, 8]",TIMEOUT
"./qubit.exe","3600s","co14_215",1,1,7,3600,"21760","33423","[4, 7, 6, 8, 15, 13, 2, 10, 12, 9, 5, 0, 11, 1, 14]",TIMEOUT
"./qubit.exe","3600s","cycle10_2_110",1,1,7,3601,"8341","11152","[1, 6, 7, 12, 0, 13, 9, 4, 11, 14, 2, 15]",TIMEOUT
"./qubit.exe","3600s","dist_223",1,1,7,3600,"50248","71485","[12, 11, 14, 7, 13, 4, 9, 8, 5, 1, 0, 6, 15]",TIMEOUT
"./qubit.exe","3600s","inc_237",1,1,7,3600,"14380","19489","[1, 7, 2, 12, 3, 8, 4, 11, 9, 0, 6, 14, 5, 15, 10, 13]",TIMEOUT
"./qubit.exe","3600s","misex1_241",1,1,7,3600,"6399","8839","[4, 2, 14, 0, 1, 15, 12, 6, 7, 5, 11, 10, 3, 9, 8]",TIMEOUT
"./qubit.exe","3600s","mlp4_245",1,1,7,3600,"26005","35100","[7, 9, 10, 2, 3, 14, 0, 4, 12, 8, 13, 5, 6, 11, 1, 15]",TIMEOUT
"./qubit.exe","3600s","radd_250",1,1,7,3600,"4281","5795","[9, 10, 11, 2, 13, 4, 15, 6, 12, 0, 5, 14, 3]",TIMEOUT
"./qubit.exe","3600s","rd84_253",1,1,7,3600,"18285","25423","[5, 12, 9, 10, 11, 14, 15, 13, 8, 3, 4, 1]",TIMEOUT
"./qubit.exe","3600s","root_255",1,1,7,3600,"22230","32254","[11, 1, 13, 2, 5, 7, 9, 4, 0, 8, 3, 15, 14]",TIMEOUT
"./qubit.exe","3600s","sqn_258",1,1,7,3600,"13596","18858","[9, 4, 3, 12, 2, 10, 6, 7, 15, 13]",TIMEOUT
"./qubit.exe","3600s","square_root_7",1,1,7,3600,"9490","14346","[11, 12, 6, 7, 2, 8, 9, 4, 14, 3, 13, 15, 5, 1, 0]",TIMEOUT
"./qubit.exe","3600s","sym9_146",1,1,7,3600,"304","597","[0, 15, 13, 11, 5, 12, 10, 2, 3, 14, 1, 4]",TIMEOUT
"./qubit.exe","3600s","sym9_148",1,1,7,3600,"28973","38685","[9, 15, 14, 0, 2, 4, 12, 13, 1, 3]",TIMEOUT
"./qubit.exe","3600s","sym9_193",1,1,7,3600,"48306","65611","[8, 1, 6, 13, 15, 0, 4, 9, 14, 3, 10]",TIMEOUT
"./qubit.exe","3600s","wim_266",1,1,7,3600,"1187","1794","[12, 11, 15, 0, 4, 6, 8, 7, 10, 1, 2]",TIMEOUT
"./qubit.exe","3600s","z4_268",1,1,7,3600,"3967","5499","[2, 11, 7, 3, 0, 4, 9, 13, 5, 10, 12]",TIMEOUT
