executable,timeout,instance,number_of_sabre,pool_percent,initial_depth,execution_time,depth,gates,mapping,status
"./qubit.exe","3600s","clip_206",20,1,7,3600,"45420","63342","[3, 2, 12, 4, 7, 9, 15, 0, 6, 13, 11, 1, 8, 14]",TIMEOUT
"./qubit.exe","3600s","cm42a_207",20,1,7,3600,"2223","3293","[13, 1, 5, 14, 6, 9, 2, 8, 7, 15, 12, 11, 3, 10]",TIMEOUT
"./qubit.exe","3600s","cm85a_209",20,1,7,3600,"15711","21009","[1, 6, 7, 13, 10, 5, 9, 0, 4, 3, 15, 14, 12, 11]",TIMEOUT
"./qubit.exe","3600s","co14_215",20,1,7,3600,"21765","33543","[5, 12, 3, 10, 6, 2, 11, 0, 1, 9, 7, 14, 8, 15, 13]",TIMEOUT
"./qubit.exe","3600s","cycle10_2_110",20,1,7,3600,"8302","11194","[13, 1, 8, 3, 6, 12, 9, 4, 10, 15, 14, 7]",TIMEOUT
"./qubit.exe","3600s","dist_223",20,1,7,3600,"49964","71116","[11, 14, 5, 4, 9, 3, 0, 2, 7, 8, 13, 1, 6]",TIMEOUT
"./qubit.exe","3600s","inc_237",20,1,7,3600,"14377","19489","[15, 7, 2, 3, 0, 12, 1, 4, 5, 14, 10, 11, 8, 13, 6, 9]",TIMEOUT
"./qubit.exe","3600s","misex1_241",20,1,7,3600,"6397","8848","[11, 3, 13, 1, 0, 4, 5, 7, 6, 2, 9, 15, 10, 8, 12]",TIMEOUT
"./qubit.exe","3600s","mlp4_245",20,1,7,3600,"25930","35211","[0, 1, 6, 11, 7, 8, 14, 2, 3, 10, 13, 12, 4, 9, 5, 15]",TIMEOUT
"./qubit.exe","3600s","radd_250",20,1,7,3600,"4284","5849","[5, 1, 9, 11, 7, 4, 2, 14, 6, 0, 8, 15, 3]",TIMEOUT
"./qubit.exe","3600s","rd84_253",20,1,7,3600,"18231","25534","[7, 5, 11, 2, 8, 12, 13, 14, 1, 6, 15, 9]",TIMEOUT
"./qubit.exe","3600s","root_255",20,1,7,3600,"22084","31993","[8, 10, 14, 13, 11, 7, 4, 0, 2, 9, 1, 3, 5]",TIMEOUT
"./qubit.exe","3600s","sqn_258",20,1,7,3600,"13504","18753","[4, 12, 11, 2, 14, 5, 15, 7, 6, 13]",TIMEOUT
